zone,model,x_label,y_label,method,r_squared,nrmse_by_sd,nrmse_by_raw_y_range,mean_buffer_width_by_sd,buffer_width95_by_sd
HW,LPJ-GUESS,P,E_soil,GAM,0.3123154308771161,0.8292344186629964,0.13755973881274017,0.6117894449384849,3.2953454807322244
HW,LPJ-GUESS,P,E_soil,Piecewise linear,0.30754245682596937,0.8321071532355971,0.13803628996473216,0.6150190108271164,3.289448262965608
HW,LPJ-GUESS,P,E_soil,Symbolic regression,0.28795271003797807,0.8437952943835874,0.13997520808889338,0.6066974833508456,3.322573087075938
HW,CLASSIC,LAI,E_soil,Equal-width bins,0.6374936911610412,0.5812115219080396,0.12846431170903877,0.434641476956705,2.5228019648434996
HW,CLASSIC,LAI,E_soil,Equal-count bins,0.6056950651212495,0.5839142704147461,0.12906169616125482,0.4370700879529006,2.5413917096501755
HW,CLASSIC,LAI,E_soil,LOWESS,0.6706130710546732,0.5738991517030472,0.12684806948062907,0.43367467865540743,2.4675614285930854
HW,CLASSIC,LAI,E_soil,Polynomial degree 3,0.665423177428913,0.5784027224835556,0.12784348698138967,0.4442665435356033,2.4666307017791627
HW,CLASSIC,LAI,E_soil,GAM,0.6708933020671781,0.5736549729777738,0.1267940990228975,0.4359397964527005,2.4621075908272507
HW,CLASSIC,LAI,E_soil,Piecewise linear,0.6653464753597722,0.5784690183837015,0.12785814026485076,0.4430879174432749,2.483966749007132
HW,CLASSIC,LAI,E_soil,Symbolic regression,0.6551340168585684,0.587229117245711,0.12979437178881778,0.44404880802624563,2.511536023668331
HW,LPJ-GUESS,LAI,E_soil,Equal-width bins,0.04471255181418865,0.9686658774682824,0.16068969413521617,0.6611037541590665,3.8792248447706896
HW,LPJ-GUESS,LAI,E_soil,Equal-count bins,0.035285163931334185,0.969960995193841,0.16090453815525435,0.6588992619239142,3.9243009649211062
HW,LPJ-GUESS,LAI,E_soil,LOWESS,0.04428473239204711,0.9775679219941966,0.1621664332723332,0.668506333465448,3.9220247737237988
HW,LPJ-GUESS,LAI,E_soil,Polynomial degree 3,0.08593263910244642,0.9560305733270859,0.15859365337959372,0.6920958375557258,3.8649900975683438
HW,LPJ-GUESS,LAI,E_soil,GAM,0.08792515369649001,0.9549880111604174,0.1584207052046082,0.6898002142047721,3.869890985457785
