zone,model,x_label,y_label,method,amplitude_norm_by_y_sd,normalized_total_variation,mean_standardized_absolute_slope,late_to_early_absolute_slope_ratio
CD,CLASSIC,LAI,E_soil,LOWESS,2.509143134043082,1.3438144352254224,1187.863359763193,0.0008504623996391
CD,CLASSIC,LAI,E_soil,Polynomial degree 3,3.3149777262796114,1.9380827382715369,1.938082738271537,1.075729616175218
CD,CLASSIC,LAI,E_soil,GAM,2.139844383897586,1.5118624514977432,1.5118624514977437,0.3393433263643422
CD,CLASSIC,LAI,E_soil,Piecewise linear,2.056545685491906,1.0,1.0000000000000002,0.0550357691492494
CD,CLASSIC,LAI,E_soil,Symbolic regression,2.62210857788482,1.5629080091459722,1.562908009145972,0.3975570479133731
CD,LPJ-GUESS,LAI,E_soil,Equal-width bins,1.1796777208422051,1.6355358641658957,1.5289051953493558,1.3735217717143533
CD,LPJ-GUESS,LAI,E_soil,Equal-count bins,1.7801136133690514,2.1053216470643106,300.6514566332935,0.0007780950491237
CD,LPJ-GUESS,LAI,E_soil,LOWESS,1.8943780648116113,2.6573695151768044,829.6476735545604,0.0008875268966915
CD,LPJ-GUESS,LAI,E_soil,Polynomial degree 3,1.743585042199611,1.923965067538846,1.9239650675388456,3.679713734395801
CD,LPJ-GUESS,LAI,E_soil,GAM,1.2853707093326248,2.7736842429511244,2.7736842429511244,2.7996177610197477
CD,LPJ-GUESS,LAI,E_soil,Piecewise linear,1.4901415999576777,1.624565668956457,1.6245656689564572,1.0737964616068387
CD,LPJ-GUESS,LAI,E_soil,Symbolic regression,1.773436350067726,1.921792959788748,1.9217929597887475,0.291255331925955
